autor,titulo,texto
Olavo Bilac,Ideal,"Na Terra um sonho eterno de beleza Palpita em todo o espírito que, ansioso, Espera a luz esplêndida do gozo Das sínteses de amor da Natureza; É ansiedade perpetuamente acesa No turbilhão medonho e tenebroso Da carne, onde a esperança sem repouso Luta, sofre e soluça, e sonha presa. Aspirações do mundo miserando, Guardadas com ternura, com desvelos, Nas lágrimas de dor do peito aflito!... Mas que o homem realiza apenas, quando, Rotas as carnes, brancos os cabelos, Sente o beijo de glória do Infinito!..."
Olavo Bilac,Ressurreição,"Extinga-se o calor do foco aurifulgente Do Sol que vivifica o Mundo e a Natureza; Apague-se o fulgor de tudo o que alma presa As grilhetas do corpo, adora, anela e sente; Tombe no caos do nada, em túrgida surpresa, O que o homem pensou num sonho de demente, Os mistérios da fé, fulcro de luz potente, O templo, o lar, a lei, os tronos e a realeza; Estertore e soluce exausto e moribundo, Debilmente pulsando, o coração do mundo, Morto à mingua de luz, ambicionando a glória; O Espírito imortal, depois das derrocadas, Numa ressurreição de eternas alvoradas, Subirá para Deus num canto de vitória."
Olavo Bilac,O Livro,"Ei-lo! Facho de amor que, redivivo, assoma Desde a taba feroz em folhas de granito, Da Índia misteriosa e dos louros do Egito Ao fausto senhoril de Cartago e de Roma! Vaso revelador retendo o excelso aroma Do pensamento a erguer-se esplêndido e bendito, O Livro é o coração do tempo no Infinito, Em que a idéia imortal se renova e retoma. Companheiro fiel da virtude e da História, Guia das gerações na vida transitória, É o nume apostolar que governa o destino; Com Hermes e Moisés, com Zoroastro e Buda, Pensa, corrige, ensina, experimenta, estuda, E brilha com Jesus no Evangelho Divino."
Olavo Bilac,Brasil,"Desde o Nilo famoso, aberto ao sol da graça, Da virtude ateniense à grandeza espartana, O anjo triste da paz chora e se desengana, Em vão plantando o amor que o ódio despedaça, Tribos, tronos, nações... tudo se esfuma e passa. Mas o torvo dragão da guerra soberana Ruge, fere, destrói e se alteia e se ufana, Disputando o poder e denegrindo a raça. Eis, porém, que o Senhor, na América nascente, Acende nova luz em novo continente Para a restauração do homem exausto e velho. E aparece o Brasil que, valoroso, avança, Encerrando consigo, em láureas de esperança, O Coração do Mundo e a Pátria do Evangelho."
Castro Alves,Marchemos!,"Há mistérios peregrinos No mistério dos destinos Que nos mandam renascer: Da luz do Criador nascemos, Múltiplas vidas vivemos, Para à mesma luz volver. Buscamos na Humanidade As verdades da Verdade, Sedentos de paz e amor; E em meio dos mortos-vivos Somos míseros cativos Da iniqüidade e da dor. É a luta eterna e bendita, Em que o Espírito se agita Na trama da evolução; Oficina onde a alma presa Forja a luz, forja a grandeza Da sublime perfeição. É a gota d'água caindo No arbusto que vai subindo, Pleno de seiva e verdor; O fragmento do estrume, Que se transforma em perfume Na corola de uma flor. A flor que, terna, expirando, Cai ao solo fecundando O chão duro que produz, Deixando um aroma leve Na aragem que passa breve, Nas madrugadas de luz. É a rija bigorna, o malho, Pelas fainas do trabalho, A enxada fazendo o pão; O escopro dos escultores Transformando a pedra em flores, Em Carraras de eleição. É a dor que através dos anos, Dos algozes, dos tiranos, Anjos puríssimos faz, Transmutando os Neros rudes Em arautos de virtudes, Em mensageiros de paz. Tudo evolui, tudo sonha Na imortal ânsia risonha De mais subir, mais galgar; A vida é luz, esplendor, Deus somente é o seu amor, O Universo é o seu altar. Na Terra, às vezes se acendem Radiosos faróis que esplendem Dentro das trevas mortais; Suas rútilas passagens Deixam fulgores, imagens, Em reflexos perenais. É o sofrimento do Cristo, Portentoso, jamais visto, No sacrifício da cruz, Sintetizando a piedade, E cujo amor à Verdade Nenhuma pena traduz. É Sócrates e a cicuta, É César trazendo a luta, Tirânico e lutador; É Cellini com sua arte, Ou o sabre de Bonaparte, O grande conquistador. É Anchieta dominando, A ensinar catequizando O selvagem infeliz; É a lição da humildade, De extremosa caridade Do pobrezinho de Assis. Oh! bendito quem ensina, Quem luta, quem ilumina, Quem o bem e a luz semeia Nas fainas do evolutir: Terá a ventura que anseia. Nas sendas do progredir. Uma excelsa voz ressoa, No Universo inteiro ecoa: “Para a frente caminhai! “O amor é a luz que se alcança, “Tende fé, tende esperança, “Para o Infinito marchai!”"
Castro Alves,A Morte,"No extremo pólo da vida Diz a Morte: – “Humanidade, Sou a espada da Verdade E a Têmis do mundo sou; Sou balança do destino, O fiel desconhecido, Lanço Cômodo no olvido E aureolo a fronte de Hugo! O cronômetro dos séculos Não me torna envelhecida; Sou morte – origem da vida, Prêmio ou gládio vingador. Sou anjo dos desgraçados Que seguem na Terra errantes, Desnorteados viajantes Dos Niágaras da dor! Também sou braço potente Dos déspotas e opressores, Que trazem os sofredores No jugo da escravidão; Aos bons, sou compensação, Consolo e alívio aos precitos, E nos maus aumento os gritos De dores e maldição. Sepultura do presente, Do porvir sou plenitude, Da alegria sou saúde E do remorso o amargor. Sou águia libertadora Que abre, sobre as descrenças, O manto das trevas densas, E sobre a crença o esplendor. Desde as eras mais remotas Coso láureas e mortalhas, E sobre a dor das batalhas Minha asa sempre pairou; Meu verbo é a lei da Justiça, Meu sonho é a evolução; Meu braço – a revolução, Austerlitz e Waterloo. Homem, ouve-me; se às vezes Simbolizo a guilhotina, Minha mão abre a cortina Que torna o mistério em luz; E por trabalhar com Deus, Na absoluta eqüidade, Sou prisão ou liberdade, Nova aurora ou nova cruz. Se o cristal que imita o céu Da consciência tranqüila É o luzeiro que cintila Na noite do teu viver, Oásis – dou-te o repouso, Estrela – estendo-te lume, Flor – oferto-te perfume, Luz da vida – dou-te o ser! Mas, também se a tirania Arvora-se em lei na Terra, Eu mando a noite da guerra Fazer o sol do porvir; Arremesso a minha espada, Ateio fogo aos canhões, Faço cair as nações Como fiz Roma cair. Foi assim que fiz um dia, Ao ver o trono imperfeito Estrangulando o Direito; Busquei Danton, Mirabeau... E junto ao vulto de Têmis Tomei o carro de Jove, E fiz o Oitenta e Nove Quando a França me ajudou. Então, implacavelmente, Fiz a Europa ensangüentada Ajoelhar-se humilhada, Diante de tanto horror. Das cidades fiz ossuários, Dos campos Saaras ardentes, Trucidei réus inocentes, Apaguei a luz do amor, Até que um dia o Criador Sempre amoroso e clemente, Que jamais teve presente, Nem passado nem porvir, Bradou do cume dos céus Num grito piedoso e forte: “Não prossigas! Basta, Morte, Agora é reconstruir.” Portanto, homem, se tens Por bússola o Bem na vida, Olha o Sol de fronte erguida, Espera-me com fervor. Abrir-te-ei meus tesouros, Serei tua doce amante, Cujo seio palpitante Guardar-te-á – paz e amor. Se às vezes se te afigura Que sou a foice impiedosa, Horrenda, fria, orgulhosa, Que espedaça os teus heróis, Verás que sou a mão terna Que rasga abismos profundos, E mostra biliões de mundos, E mostra biliões de sóis. Conduzo seres aos Céus, À luz da realidade; Sou ave da liberdade Que ao lodo da escravidão Venho arrancar os espíritos, Elevando-os às alturas: Dou corpos às sepulturas, Dou almas para a amplidão!” A Morte é transformação, Tudo em seu seio revive: Esparta, Tebas, Nínive, Em queda descomunal, Revivem na velha Europa; E como faz às cidades, Remodela humanidades No progresso universal."
Cruz e Souza,Ansiedade,"Todo esse anseio que tortura o peito, Estrangulando a voz exausta e rouca, Que em cada canto estruge e em cada boca Faz o soluço do ideal desfeito; Ansiedade fatal de que se touca A alma do homem mau e do perfeito, Sobe da Terra pelo espaço eleito, Numa imensa espiral, estranha e louca, Formando a rede eterna e incompreendida, Das ilusões, dos risos, das quimeras, Das dores e da lágrima incontida; Essa ansiedade é a mão de Deus nas eras, Sustentando o fulgor da luz da Vida, No turbilhão de todas as esferas!..."
Cruz e Souza,Heróis,"Esses seres que passam pelas dores, As geenas do pranto acorrentados, Aluviões de peitos sofredores, No turbilhão dos grandes desgraçados; Corações a sangrar, ermos de amores, Revestidos de acúleos acerados, Nutrindo a luz dos sonhos superiores Nos ideais maiores esfaimados; Esses pobres que o mundo considera Os humanos farrapos dos vencidos, Prisioneiros da angústia e da quimera, São os heróis das lutas torturantes, Que são, sendo na Terra os esquecidos, Coroados nas Luzes Deslumbrantes!"
Cruz e Souza,Aos torturados,"Torturados da vida, um passo adiante, Nos desertos dos áridos caminhos, Abandonados, trêmulos, sozinhos, Infelizes na dor a cada instante! Sobre a luz que vos guia, bruxuleante, E além dos trilhos de ásperos espinhos, Fulgem no Além os deslumbrantes ninhos, Mundos de amor no claro azul distante... Chorai! que a imensidade inteira chora, Sonhando a mesma luz e a mesma aurora Que idealizais chorando nas algemas! Vibrai no mesmo anseio em que palpita A alma universal, sonhando, aflita, As perfeições eternas e supremas!"
Cruz e Souza,A sepultura,"Como a orquídea de arminho quando nasce, Sobre a lama ascorosa refulgindo, A brancura das pétalas abrindo, Como se a neve alvíssima a orvalhasse; Qual essa flor fragrante, como a face Dum querubim angélico sorrindo, Do monturo pestífero emergindo, Luz que sobre negrumes se avistasse; Assim também do túmulo asqueroso, Evola-se a essência luminosa Da alma que busca o céu maravilhoso; E como o lodo é o berço vil de flores, A sepultura fria e tenebrosa É o berço de almas – senda de esplendores."
Cruz e Souza,Anjos da Paz,"Ó luminosas formas alvadias Que desceis dos espaços constelados Para lenir a dor dos desgraçados Que sofrem nas terrenas gemonias! Vindes de ignotas luzes erradias, De lindos firmamentos estrelados, Céus distantes que vemos, dominados De esperanças, anseios e alegrias. Anjos da Paz, radiosas formas claras, Doces visões de etéricos carraras De que o espaço fúlgido se estrela! Clarificai as noites mais escuras Que pesam sobre a terra de amarguras, Com a alvorada da Paz, ditosa e bela!"
Cruz e Souza,Alma livre,"Um soluço divino de alegria Percorre a todo Espírito liberto Das pesadas cadeias do deserto, Desse mundo de sombra e de agonia. A alma livre contempla o novo dia, Longe das dores do passado incerto, Mergulhada no esplêndido concerto De outros mundos, que a luz acaricia! Alma liberta, redimida e pura, Vê a aurora depois da noite escura, Numa visão mirífica, superna... Penetra o mundo da imortalidade, Entre canções de luz e liberdade, Forçando as portas da Beleza Eterna."
Cruz e Souza,"“Gloria victis”","Glória a todas as almas obscuras Que caíram exânimes na estrada, Onde a pobre esperança abandonada Morre chorando sob as desventuras. Glória à pobre criatura desprezada, Glória aos milhões de todas as criaturas, Sob a noite das grandes amarguras, Sem conhecer a luz de uma alvorada. Glória Victis! Hosana aos desgraçados Que tombaram sem vida, aniquilados, Nos sofrimentos purificadores; Que o Céu é a pátria eterna dos vencidos, Onde aportam ditosos, redimidos, Como heróis dos deveres e das dores!"
Cruz e Souza,Nossa mensagem,"Essa mensagem de esperança e vida Que endereçamos da imortalidade, É a lição luminosa da Verdade Que a Humanidade espera comovida. Guardai a voz da Terra Prometida, Nos exílios do pranto e da saudade; Conservai essa vaga claridade Da luz da eternidade indefinida. Todo o nosso trabalho objetiva Dar-vos a fé, a crença persuasiva Nos caminhos da prova dolorosa. Sabei vencer entre as vicissitudes, Como arautos de todas as virtudes, Sobre as ressurreições da alma gloriosa."
Cruz e Souza,Oração aos libertos,"Alma embriagada do imortal falerno, Segue cantando, no horizonte claro, O teu destino esplendoroso e raro, Cheio das luzes do porvir eterno. Mas não te esqueças desse mundo avaro, O escuro abismo, o tormentoso Averno, Sem as doces carícias do galerno Das esperanças – sacrossanto amparo. Volve os teus olhos ternos, compassivos, Para os pobres Espíritos cativos As grilhetas do corpo miserando! Abre os sacrários da Felicidade, Mas lembra-te do orbe da impiedade, Onde venceste a carne soluçando."
Cruz e Souza,Céu,"Há um céu para o Espírito que luta No oceano dos prantos salvadores, Céu repleto de vida e de fulgores, Que coroa de luz a alma impoluta. A canção da vitória ali se escuta, Da alma livre das penas e das dores, Que faz da vida a rede de esplendores, Na paz quase integral e absoluta. Considerai, ó pobres caminheiros, Que na Terra viveis como estrangeiros, De alma ofegante e coração aflito: Considerai, fitando a imensa altura, Os deslumbrantes orbes da ventura Por entre os sóis suspensos no Infinito!"
Cruz e Souza,Aos tristes,"Alma triste e infeliz que se tortura No tormento que punge e dilacera, Para quem nunca trouxe a Primavera Dos seus pomos dourados de ventura; Sou teu irmão, e intrépido quisera Trazer-te a luz que esplende pela Altura, Afastando essa dor que te amargura Nas ansiedades de uma longa espera. Mas há quem guarde as gotas do teu pranto No tesouro sublime e sacrossanto Dos arcanos de luz da Divindade! Há quem te faça ver as cores do íris Da fagueira. esperança, até partires Nas asas brancas da Felicidade."
Cruz e Souza,Beleza da morte,"Há no estertor da morte uma beleza Transcendente, ignota, luminosa. Beleza sossegada e silenciosa, Da Luz branca da Paz, trêmula e acesa. É o augusto momento em que a alma, presa Às cadeias da carne tenebrosa, Abandona a prisão, dorida e ansiosa, Sentindo a vida de outra natureza. Um mistério divino há nesse instante, No qual o corpo morre e a alma vibrante Foge da noite das melancolias! No silêncio de cada moribundo, Há a promessa de vida em outro mundo, Na mais sagrada das hierarquias."
Cruz e Souza,Mensageiro,"Abri minhalma para os sofredores Na vastidão serena dos Espaços, Eu que na Terra tive sempre os braços Presos à cruz tantálica das dores. Epopéias de Sons e de Esplendores, E os prazeres mais pobres, mais escassos, E o mistério dos célicos abraços, Dos Perfumes, das Preces e das Cores; Tudo isso não vejo e vejo apenas O turbilhão das lágrimas terrenas – Taça imensa de gotas amargosas! Da piedade e do amor eu trago o círio, Para afastar as trevas do martírio Do silêncio das noites tenebrosas."
Cruz e Souza,Se queres,"Se queres a ventura doce, etérea, De outro mundo de luz, indefinido, Serás na Terra o filho incompreendido Do Tormento casado com a Miséria. Viverás na mansão triste, funérea, Do Soluço, do Pranto, do Gemido; Dos prazeres mundanos esquecido, Outro Job pelas chagas da matéria. Serás em toda a Terra o feio aborto Das amarguras e do desconforto, Encarcerado nas sinistras grades; Mas um dia abrirás as portas de ouro E encontrarás o fúlgido tesouro, De benditas e eternas claridades."
Cruz e Souza,À dor,"Dor, és tu que resgatas, que redimes Os grandes réus, os míseros culpados, Os calcetas dos erros, dos pecados, Que surgem do pretérito de crimes. Sob os teus pulsos, fortes e sublimes, Sofri na Terra junto aos condenados, Seres escarnecidos, torturados, Entre as prisões da Lágrima que exprimes! Da perfeição és o sagrado Verbo, Ó portadora do tormento acerbo, Aferidora da Justiça Extrema... Bendita a hora em que me pus à espera De ser, em vez do réprobo que eu era, O missionário dessa Dor suprema!"
Cruz e Souza,Noutras eras,"Também marchei pelas estradas flóreas, Cheias de risos e de pedrarias; Onde todas as horas dos meus dias Eram hinos de esplêndidas vitórias. Tive um passado fúlgido de glórias, De maravilhas de ouro e de alegrias, Sem reparar, porém, noutras sombrias Sendas tristes, das dores meritórias. E abusei dos deveres soberanos Sucumbindo aos terríveis desenganos Do destino cruel, fatal e avaro; Para encontrar-me a sós no mesmo horto Que deixara, sem luz e sem conforto, Sentindo as dores desse desamparo."
Cruz e Souza,Sofre,"Toda a dor que na vida padeceres, Todo o fel que tragares, todo o pranto, Ser-te-ão como trevas, e, entretanto, Serás pobre de luz se não sofreres. É que dos sofrimentos nasce o canto De alegria dos mundos e dos seres, Pois que a dor é a saúde dos prazeres, O hino da luz, misterioso e santo. Doma o teu coração, e, no silêncio, Foge à revolta, humilha-o, dobra-o, vence-o, Chorando a mesma dor que o mundo chora; Abre a tua consciência para as luzes E, no mundo que o mal encheu de cruzes, Do Bem encontrarás a eterna aurora."
Cruz e Souza,Exaltação,"Harmonias do Som, vibrai nos ares, Nos horizontes, nas atmosferas; Exaltai minhas dores de outras eras, Meus passados, recônditos pesares. Desdobrai-vos luzeiros estelares, Sobre o aroma das novas primaveras; Cantem no mundo todas as quimeras, Aves e flores, amplidões e mares! Vibrai comigo, multidões de seres, Na concretização desses prazeres Do meu sonho de luzes e universos... Exaltai-vos na vida de minhalma, E na grandeza infinda que se espalma Sobre a glória sublime dos meus versos!"
Cruz e Souza,Vozes,"Há sobre os prantos, há sobre as humanas Vozes que se lamentam nas torturas, Outras vozes mais doces e mais puras, Como um coro dulcíssimo de hosanas. As primeiras são feitas de amarguras, As segundas, de bênçãos soberanas, Sobre as dores sagradas ou profanas Que pululam nas sendas mais escuras. Sobe da Terra a queixa soluçando, Silenciosa, muda, suplicando, Remontando aos Espaços constelados; Desce dos Céus a voz amiga e mansa, Fortificando a vida da Esperança – Patrimônio dos seres desgraçados."
Cruz e Souza,Soneto,"Nos labirintos dessa eternidade Que nós vivemos luminosa e pura, A alma vive na intérmina procura Do filão de ouro da felicidade. Quanto mais sofre, tanto mais se apura No pensamento excelso da Verdade, Vendo na auréola da Imortalidade A alvorada risonha da ventura. E ao fim de cada noite tormentosa, Que é a existência na prova dolorosa, Canta e vibra num dia de bonança. Em torno da Verdade a alma gravita Buscando a Perfeição pura, infinita, Nessa jornada eterna da Esperança."
Cruz e Souza,Glória da Dor,"Para aquém dessas cruzes esquecidas Nas sepulturas ermas e desertas, Há o turbilhão frenético das vidas Sobre as estradas ásperas, incertas... Inda há sânie das úlceras abertas No coração das almas combalidas, Gozadores de outrora entre as refertas Das ilusões que tombam fenecidas. Só uma glória mirífica perdura Concretizando os sonhos da criatura Cheia de crenças e de cicatrizes: É a vitória da Dor que aperfeiçoa, Luminosa e divina, humilde e boa, Glória da Dor, que é pão dos infelizes."
Cruz e Souza,Quanta vez,"Quanta vez eu fitei essas fronteiras, Horizontes, estrelas, firmamentos, Presa de sonhos e estremecimentos De esperança, nas horas derradeiras!... Ah! meus longínquos arrebatamentos, Amarguras e dores e canseiras, Que vos fostes nas lágrimas ligeiras, Como folhas levadas pelos ventos... Quanta vez, abafando os meus soluços, Como o errado viajor que cai de bruços Sobre a íngreme estrada da agonia, Ensináveis-me a ler a Bíblia santa Desta vida imortal que se levanta Numa alvorada eterna de alegria!"
Cruz e Souza,Ide e pregai,"Vós que tendes as rosas da bonança Enlaçadas na fé mais doce e pura, Ide e pregai, na noite da amargura, O evangelho do amor e da esperança. Toda luz da verdade que se alcança É um reduto de paz firme e segura: Dai dessa paz a toda criatura, Sobre a qual vossa vida já descansa. Espalhai os clarões da vossa crença Na pedregosa estrada dessa imensa Turba de irmãos famintos, torturados! Conduzi a mensagem luminosa Da caridade, lúcida e piedosa, Redentora de todos os pecados."
Cruz e Souza,Caridade,"Caridade é a mão terna e compassiva Que ampara os bons e aos maus ama e perdoa, Misericórdia, a qual para ser boa, De bens paradisíacos se priva. Mão radiosa, que traz a verde oliva Da paz, que acaricia e que abençoa, Voz da eterna verdade que ressoa Por toda a parte, promissora e ativa. A caridade é o símbolo da chave Que abre as portas do céu claro e suave, Das consciências libertas da impureza; É a vibração do espírito divino, Em seu labor fecundo e peregrino, Manifestando as glórias da Beleza!."
Cruz e Souza,Renúncia,"Renuncia a ti mesmo! Renuncia À mundana e efêmera vaidade: Que em ti sintas a dúlcida piedade Que as desgraças alheias alivia. Do homem, esquece a lúrida maldade, Prosseguindo na estrada luzidia. E denodadamente engendra e cria Teu próprio mundo de felicidade! Parte o teu coração em mil fragmentos, Ofertando-os ao mundo que te odeia, Com a bondade mais pródiga e mais pura. Não olvides em meio dos tormentos: – Renunciar em bem da dor alheia, É ter no Além castelos de ventura."
Cruz e Souza,Tudo vaidade,"Na Terra a morte é o trágico resumo De vanglórias, de orgulhos e de raças; Tudo no mundo passa, como passas, Entre as aluviões de cinza e fumo. Todo o sonho carnal vaga sem rumo, Só o diamante do espírito sem jaças Fica indene de todas as desgraças, De que a morte voraz faz seu consumo. Nesse mundo de lutas fratricidas, A vida se alimenta de outras vidas, Num contínuo combate pavoroso; Só a Morte abre a porta das mudanças E concretiza as puras esperanças Nos países seráficos do gozo!"
Cruz e Souza,Ouvi-me,"Ó vós que ides marchando, almas sedentas De paz, de amor, de luz, sob as maiores Desventuras do mundo, sob as dores De misérias, batalhas e tormentas... Também senti as emoções violentas Que palpitam nos peitos sonhadores, E sustentei, varado de amargores, Surdas batalhas, rudes e incruentas. Também vivi as lágrimas obscuras, Iguais às vossas, míseras criaturas, Que tombais nos caminhos sem dizê-las! Exultai, que uma vida eterna e grande, Além da morte, esplêndida se expande No coração sublime das estrelas!..."
Cruz e Souza,Felizes os que têm Deus,"Entre esse mundo de apodrecimento E a vida de alma livre, de alma pura, Ainda se encontra a imensidade escura Das fronteiras de cinza e esquecimento. Só o pensador que sofre e anda à procura Da verdade e da luz no sentimento, Pode guardar esse deslumbramento Da Fé – fonte de mística ventura. Feliz o que tem Deus nessa batalha Da miséria terrena, que estraçalha Todo o anseio de amor ou de bonança!... Venturoso o que vai por entre as dores Atravessando o oceano de amargores, No bergantim sagrado da Esperança."
Cruz e Souza,Glória aos humildes,"Ai da. ambição do mundo, ai da vaidade Que se mergulham sob a noite escura, Noite de dor que além da sepultura Nos afasta da vida e da verdade. Só o caminho divino da humildade Pode ofertar a luz radiosa e pura, Que vem salvar a mísera criatura Confundida no abismo da impiedade. Pobres da Terra, seres infelizes, Cheios de prantos e de cicatrizes, Levantai vosso olhar sereno e forte. Não maldigais a ulceração da algema, E esperai a vitória alta e suprema, Que Jesus vos prepara além da morte."
Cruz e Souza,Aos trabalhadores do Evangelho,"Há uma falange de trabalhadores, Espalhada nas sendas do Infinito, Desde as sombras do mundo amargo e aflito Aos espaços de eternos resplendores. É a caravana de batalhadores Que, no esforço do amor puro e bendito, Rompe algemas de trevas e granito, Aliviando os seres sofredores. Vós que sois, sobre a Terra, os companheiros Dessa falange lúcida de obreiros, Guardai-lhe a sacrossanta claridade; Não vos importe o espinho ingrato e acerbo, Na palavra e nos atos, sede o Verbo De afirmações da Luz e da Verdade."
